Name,Type,Icon,Info 1,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Damage Type,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Stamina),Enchantment,Obtainable?,Item Type,ID,Icon ID,AtkParam ID
Placidusax's Ruin,Incantation,,Spews golden breath of Dragonlord Placidusax,Power gleaned from the remembrance of Dragonlord Placidusax. Transforms caster into the Dragonlord to spew golden breath from above. This incantation can be cast while jumping. These are the dying wails of the Dragonlord who once dwelled eternally beyond time.,0,36,0,3,80,0,600,Fire,0,0,356,0,0,400,No,Yes,16,7050,6089,70500
Dragonclaw,Incantation,,Channels dragon to rend foes with dragon claws,One of the incantations of Dragon Communion. Transforms caster into a dragon to tear through foes with dragon claws. Allows one follow-up attack. Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.,0,17,13,1,42,0,50,-,-,-,-,-,-,-,No,Yes,16,7060,6090,-
Dragonmaw,Incantation,,Channels dragon to bite foes before caster,One of the incantations of Dragon Communion. Transforms caster into a dragon to bite enemies before them. Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.,0,24,16,1,62,0,72,-,-,-,-,-,-,-,No,Yes,16,7080,6091,-
Greyoll's Roar,Incantation,,Emits the roar of Elder Dragon Greyoll,"Superior incantation of Dragon Communion. Channels the power of Greyoll, the Elder Dragon. An incantation of legendary status. Transforms caster into a dragon to emit a terrible roar, reducing the attack power and defense of nearby enemies. Greyoll was the mother of all dragons, dwarfing all who stood before her like a looming mountain.",0,28,17,2,75,0,80,Physical,320,0,0,0,0,220,No,Yes,16,7090,6092,70900
Pest Threads,Incantation,,Launches countless sticky threads before caster,"Incantation of the servants of rot. Secretes countless sticky threads, launching them forwards. A technique of the pale pests who crawl through the lands afflicted by scarlet rot; the abandoned children of the goddess. ""Do you have an interest in rot incantations?""",0,11,0,1,19,0,35,Physical,60,0,0,0,0,40,No,Yes,16,7200,6609,72000
Swarm of Flies,Incantation,,Releases a swarm of bloodflies before caster,"A Blood Oath incantation, shared from the Lord of Blood's power. Releases a swarm of bloodflies before the caster to assault foes. The vile swarm deals damage and builds up onset of blood loss. This incantation can be cast while in motion. The new palace of the Lord of Blood lies in a swamp of festering blood, and these flies are said to spawn from excrement in that land.",0,11,16,1,14,0,24,Physical,52,0,0,0,0,15,No,Yes,16,7210,6611,72100
Poison Mist,Incantation,,Releases poison mist before caster,"Incantation of the servants of rot. Releases a poisonous mist before the caster. This incantation can be cast while in motion. Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.",0,12,0,1,18,0,10,-,0,0,0,0,0,0,No,Yes,18,7220,6610,0
Poison Armament,Incantation,,Enchants right-hand armament with poison,"Incantation of the servants of rot. Enchants armament held in the right hand with poison. This incantation can be cast while in motion. Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.",0,10,0,1,15,0,10,-,-,-,-,-,-,-,Yes,Yes,18,7230,6612,-
Scarlet Aeonia,Incantation,,Creates giant flower that explodes with scarlet rot,"Technique of Malenia, the Goddess of Rot. Creates a gigantic flower that blooms into an explosion of scarlet rot. Each time the scarlet flower blooms, Malenia's rot advances. It has bloomed twice already. With the third bloom, she will become a true goddess.",0,35,0,3,56,0,66,Physical,362,0,0,0,0,200,No,Yes,16,7240,6713,72401
Inescapable Frenzy,Incantation,,Latches onto foes to spread madness,"Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to blaze from the caster's eyes. The caster then latches onto foes, spreading the madness. This incantation also causes buildup of madness in the caster, and is only effective against Tarnished. To gaze into one another's eyes is truly the most intimate form of human contact.",0,21,0,1,32,16,31,-,0,0,0,0,0,0,No,Yes,16,7300,6094,73010
The Flame of Frenzy,Incantation,,Emits burst of yellow flame of frenzy from eyes,"Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to burst forth from the caster's eyes. Charging increases the range of the burst. The flame of frenzy deals damage and causes buildup of madness. This incantation also causes buildup of madness in the caster, and is only effective against Tarnished.",0,16,0,1,16,6,30,Fire,0,0,107,0,0,50,No,Yes,16,7310,6095,73100
Unendurable Frenzy,Incantation,,Emits violent burst of yellow flame of frenzy from eyes,Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to violently burst forth from the caster's eyes. Hold to continue channeling the flame. This incantation can be used while in motion. It is the maddening pain and unstoppable tears of those afflicted with the flame of frenzy brought into being.,0,31,0,1,42,24,40,-,0,0,0,0,0,0,No,Yes,16,7311,6096,0
Frenzied Burst,Incantation,,Emits concentrated blast of yellow flame of frenzy from eyes,"Incantation originating from the maddening Three Fingers. Releases concentrated blasts of the yellow flame of frenzy from the caster's eyes. Charging enhances potency, enabling the blasts to penetrate the enemy's guard. In times past, every single person who attempted to control the flame of frenzy succumbed to madness after a desperate internal struggle. This incantation is testament to a meager victory.",0,22,0,1,24,0,33,Fire,0,0,250,0,0,50,No,Yes,16,7320,6097,73200
Howl of Shabriri,Incantation,,"Shrieks, building up madness in nearby foes","Incantation originating from the maddening Three Fingers. Releases a maddening shriek that causes madness buildup in foes nearby. This incantation also causes madness buildup in the caster and makes enemies more likely to target them. It is said that the sickness of the flame of frenzy began with Shabriri, the most reviled man in all history.",0,33,0,1,21,32,38,Physical,22,0,0,0,0,20,No,Yes,16,7330,6098,73300
Aspects of the Crucible: Tail,Incantation,,Creates supple tail to sweep area before caster,"One of the ancient Erdtree incantations. Creates a supple tail that sweeps through foes before the caster. Charging enhances potency. This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,32,30,42,-,-,-,-,-,-,-,No,Yes,16,7500,6613,-
Aspects of the Crucible: Horns,Incantation,,Creates shoulder horn to gore foes from low stance,"One of the ancient Erdtree incantations. Creates a mighty horn on the caster's shoulder to gore foes from a low stance. Charging allows the caster to barrel into foes before delivering the final attack. This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,30,4,49,-,-,-,-,-,-,-,No,Yes,16,7510,6614,-
Aspects of the Crucible: Breath,Incantation,,Creates throat pouch to spew fire while walking,"One of the ancient Erdtree incantations. Creates a throat pouch on the caster's neck, allowing them to spew fiery breath while walking. Charging increases duration of the breath. This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,28,0,40,Fire,0,0,98,0,0,70,No,Yes,16,7520,6615,75200
Black Blade,Incantation,,Black blade spinning slash that emits wave of light,"Power gleaned from the remembrance of Maliketh. Caster creates an illusory black blade, then leaps forward to deliver a spinning slash that emits a wave of light. This can be followed up with one additional attack. This blade was once imbued with Destined Death. In addition to dealing damage, it reduces foes' maximum HP and continues to sap their current HP for a very short time.",0,46,0,2,26,26,61,Holy,0,0,0,0,252,150,No,Yes,16,7530,6712,75301
Fire's Deadly Sin,Incantation,,Sets area and self ablaze with raging flames,"Incantation originating from a deeply ominous prophecy. Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency. The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin. ""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men.""",0,19,0,1,26,0,28,Fire,0,0,183,0,0,65,No,Yes,16,7900,6060,79001
Golden Lightning Fortification,Incantation,,Greatly increases lightning resistance for self and allies,"An incantation of Erdtree Worship. Greatly increases lightning damage negation for the caster and nearby allies. Hold to continue praying, delaying the effect. This incantation was used by the knights of the Erdtree during the assault by the great ancient dragon Gransax, and the bitter War of the Ancient Dragons that followed.",0,24,0,1,30,0,20,-,0,0,0,0,0,0,No,Yes,18,7903,6706,79030
