Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Critical),Attack Power (Stamina),Scaling Value (Str),Scaling Letter (Str),Scaling Value (Dex),Scaling Letter (Dex),Scaling Value (Int),Scaling Letter (Int),Scaling Value (Fai),Scaling Letter (Fai),Scaling Value (Arc),Scaling Letter (Arc),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Guarded Damage Negation (Physical),Guarded Damage Negation (Magic),Guarded Damage Negation (Fire),Guarded Damage Negation (Lightning),Guarded Damage Negation (Holy),Guarded Damage Negation (Guard Boost),Guard Resistance Reduction,Guard Frost Reduction,Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Thrust),Can Enchant,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Icon ID,Reinforce Type ID,Behavior Variation ID,,Stamina Usage %,1H Light Stamina Usage
Cold Forked Hatchet,Forked Hatchet,Cold,Axe,,Standard,"Peculiar hatchet wielded by imps. The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",Causes frost buildup (66),Causes blood loss buildup (45),-,Quickstep,3,2.5,100,210,81,65,0,0,0,100,53,25,D,50,D,37,D,0,-,0,-,9,14,0,0,0,38.0,27.0,27.0,27.0,27.0,27,13.0,13.0,Yes,No,No,No,No,14010900,14,01,0900,30,10521,900,1401,13,0.9,11.7
Poison Forked Hatchet,Forked Hatchet,Poison,Axe,,Standard,"Peculiar hatchet wielded by imps. The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",Causes poison buildup (66),Causes blood loss buildup (45),-,Quickstep,3,2.5,100,210,81,0,0,0,0,100,53,26,D,53,D,0,-,0,-,30,D,9,14,0,0,0,38.0,27.0,27.0,27.0,27.0,27,13.0,13.0,Yes,No,No,No,No,14011000,14,01,1000,30,10521,1000,1401,13,0.9,11.7
Blood Forked Hatchet,Forked Hatchet,Blood,Axe,,Standard,"Peculiar hatchet wielded by imps. The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",Causes blood loss buildup (57),-,-,Quickstep,3,2.5,100,210,81,0,0,0,0,100,53,26,D,53,D,0,-,0,-,30,D,9,14,0,0,0,38.0,27.0,27.0,27.0,27.0,27,13.0,13.0,Yes,No,No,No,No,14011100,14,01,1100,30,10521,1100,1401,13,0.9,11.7
Occult Forked Hatchet,Forked Hatchet,Occult,Axe,,Standard,"Peculiar hatchet wielded by imps. The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",Causes blood loss buildup (45),-,-,Quickstep,3,2.5,100,210,86,0,0,0,0,100,53,8,E,17,E,0,-,0,-,71,C,9,14,0,0,0,40.0,27.0,27.0,27.0,27.0,27,13.0,13.0,Yes,No,No,No,No,14011200,14,01,1200,30,10521,1200,1401,13,0.9,11.7
Hand Axe,Hand Axe,-,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,113,0,0,0,0,100,53,30,D,50,D,0,-,0,-,0,-,9,8,0,0,0,42.0,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,Yes,14020000,14,02,0000,30,10522,0,1401,13,0.97,12.61
Heavy Hand Axe,Hand Axe,Heavy,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,102,0,0,0,0,100,53,84,C,0,-,0,-,0,-,0,-,9,8,0,0,0,42.0,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,Yes,14020100,14,02,0100,30,10522,100,1401,13,0.97,12.61
Keen Hand Axe,Hand Axe,Keen,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,102,0,0,0,0,100,53,4,E,82,C,0,-,0,-,0,-,9,8,0,0,0,42.0,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,Yes,14020200,14,02,0200,30,10522,200,1401,13,0.97,12.61
Quality Hand Axe,Hand Axe,Quality,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,97,0,0,0,0,100,53,52,D,52,D,0,-,0,-,0,-,9,8,0,0,0,42.0,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,Yes,14020300,14,02,0300,30,10522,300,1401,13,0.97,12.61
Fire Hand Axe,Hand Axe,Fire,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,86,0,86,0,0,100,53,41,D,4,E,0,-,0,-,0,-,9,8,0,0,0,39.9,26.6,32.2,29.4,26.6,28,13.3,14.0,Yes,No,No,No,No,14020400,14,02,0400,30,10522,400,1401,13,0.97,12.61
Flame Art Hand Axe,Hand Axe,Flame Art,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,91,0,91,0,0,100,53,4,E,8,E,0,-,36,D,0,-,9,8,0,0,0,39.9,26.6,32.2,29.4,26.6,28,13.3,14.0,Yes,No,No,No,No,14020500,14,02,0500,30,10522,500,1401,13,0.97,12.61
Lightning Hand Axe,Hand Axe,Lightning,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,86,0,0,86,0,100,53,4,E,41,D,0,-,0,-,0,-,9,8,0,0,0,39.9,26.6,29.4,32.2,26.6,28,13.3,14.0,Yes,No,No,No,No,14020600,14,02,0600,30,10522,600,1401,13,0.97,12.61
Sacred Hand Axe,Hand Axe,Sacred,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,81,0,0,0,81,100,53,6,E,10,E,0,-,36,D,0,-,9,8,0,0,0,39.9,29.4,26.6,26.6,32.2,28,13.3,14.0,Yes,No,No,No,No,14020700,14,02,0700,30,10522,700,1401,13,0.97,12.61
Magic Hand Axe,Hand Axe,Magic,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,81,81,0,0,0,100,53,6,E,11,E,36,D,0,-,0,-,9,8,0,0,0,39.9,32.2,26.6,26.6,29.4,28,13.3,14.0,Yes,No,No,No,No,14020800,14,02,0800,30,10522,800,1401,13,0.97,12.61
Cold Hand Axe,Hand Axe,Cold,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",Causes frost buildup (66),-,-,Quickstep,3,3.5,100,230,91,73,0,0,0,100,53,27,D,45,D,28,D,0,-,0,-,9,8,0,0,0,39.9,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,No,14020900,14,02,0900,30,10522,900,1401,13,0.97,12.61
Poison Hand Axe,Hand Axe,Poison,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",Causes poison buildup (66),-,-,Quickstep,3,3.5,100,230,91,0,0,0,0,100,53,28,D,47,D,0,-,0,-,30,D,9,8,0,0,0,39.9,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,No,14021000,14,02,1000,30,10522,1000,1401,13,0.97,12.61
Blood Hand Axe,Hand Axe,Blood,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",Causes blood loss buildup (57),-,-,Quickstep,3,3.5,100,230,91,0,0,0,0,100,53,28,D,47,D,0,-,0,-,30,D,9,8,0,0,0,39.9,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,No,14021100,14,02,1100,30,10522,1100,1401,13,0.97,12.61
Occult Hand Axe,Hand Axe,Occult,Axe,,Standard,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.",-,-,-,Quickstep,3,3.5,100,230,97,0,0,0,0,100,53,9,E,16,E,0,-,0,-,68,C,9,8,0,0,0,42.0,28.0,28.0,28.0,28.0,28,14.0,14.0,Yes,No,No,No,No,14021200,14,02,1200,30,10522,1200,1401,13,0.97,12.61
Jawbone Axe,Jawbone Axe,-,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,124,0,0,0,0,100,61,58,D,20,E,0,-,0,-,0,-,14,8,0,0,0,49.0,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,Yes,14030000,14,03,0000,30,10523,0,1400,13,1.06,13.78
Heavy Jawbone Axe,Jawbone Axe,Heavy,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,113,0,0,0,0,100,57,84,C,0,-,0,-,0,-,0,-,14,8,0,0,0,49.0,33.0,33.0,33.0,33.0,36,16.0,24.0,Yes,No,No,No,Yes,14030100,14,03,0100,30,10523,6000,1400,13,1.06,13.78
Keen Jawbone Axe,Jawbone Axe,Keen,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,113,0,0,0,0,100,61,3,E,77,C,0,-,0,-,0,-,14,8,0,0,0,49.0,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,Yes,14030200,14,03,0200,30,10523,200,1400,13,1.06,13.78
Quality Jawbone Axe,Jawbone Axe,Quality,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,107,0,0,0,0,100,61,53,D,53,D,0,-,0,-,0,-,14,8,0,0,0,49.0,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,Yes,14030300,14,03,0300,30,10523,300,1400,13,1.06,13.78
Fire Jawbone Axe,Jawbone Axe,Fire,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,95,0,95,0,0,100,61,40,D,3,E,0,-,0,-,0,-,14,8,0,0,0,46.6,31.4,38.0,34.7,31.4,36,15.2,16.0,Yes,No,No,No,No,14030400,14,03,0400,30,10523,400,1400,13,1.06,13.78
Flame Art Jawbone Axe,Jawbone Axe,Flame Art,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,101,0,101,0,0,100,61,8,E,3,E,0,-,35,D,0,-,14,8,0,0,0,46.6,31.4,38.0,34.7,31.4,36,15.2,16.0,Yes,No,No,No,No,14030500,14,03,0500,30,10523,500,1400,13,1.06,13.78
Lightning Jawbone Axe,Jawbone Axe,Lightning,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,95,0,0,95,0,100,61,3,E,40,D,0,-,0,-,0,-,14,8,0,0,0,46.6,31.4,34.7,38.0,31.4,36,15.2,16.0,Yes,No,No,No,No,14030600,14,03,0600,30,10523,600,1400,13,1.06,13.78
Sacred Jawbone Axe,Jawbone Axe,Sacred,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,89,0,0,0,89,100,61,11,E,4,E,0,-,35,D,0,-,14,8,0,0,0,46.6,34.7,31.4,31.4,38.0,36,15.2,16.0,Yes,No,No,No,No,14030700,14,03,0700,30,10523,700,1400,13,1.06,13.78
Magic Jawbone Axe,Jawbone Axe,Magic,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,89,89,0,0,0,100,61,12,E,4,E,35,D,0,-,0,-,14,8,0,0,0,46.6,38.0,31.4,31.4,34.7,36,15.2,16.0,Yes,No,No,No,No,14030800,14,03,0800,30,10523,800,1400,13,1.06,13.78
Cold Jawbone Axe,Jawbone Axe,Cold,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",Causes frost buildup (66),-,-,Wild Strikes,2,5.5,100,460,101,80,0,0,0,100,61,52,D,18,E,27,D,0,-,0,-,14,8,0,0,0,46.6,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,No,14030900,14,03,0900,30,10523,900,1400,13,1.06,13.78
Poison Jawbone Axe,Jawbone Axe,Poison,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",Causes poison buildup (66),-,-,Wild Strikes,2,5.5,100,460,101,0,0,0,0,100,61,55,D,19,E,0,-,0,-,30,D,14,8,0,0,0,46.6,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,No,14031000,14,03,1000,30,10523,1000,1400,13,1.06,13.78
Blood Jawbone Axe,Jawbone Axe,Blood,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",Causes blood loss buildup (57),-,-,Wild Strikes,2,5.5,100,460,101,0,0,0,0,100,61,55,D,19,E,0,-,0,-,30,D,14,8,0,0,0,46.6,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,No,14031100,14,03,1100,30,10523,1100,1400,13,1.06,13.78
Occult Jawbone Axe,Jawbone Axe,Occult,Axe,,Standard,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage.",-,-,-,Wild Strikes,2,5.5,100,460,107,0,0,0,0,100,61,18,E,6,E,0,-,0,-,66,C,14,8,0,0,0,49.0,33.0,33.0,33.0,33.0,36,16.0,16.0,Yes,No,No,No,No,14031200,14,03,1200,30,10523,1200,1400,13,1.06,13.78
Iron Cleaver,Iron Cleaver,-,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,120,0,0,0,0,100,61,70,C,18,E,0,-,0,-,0,-,15,7,0,0,0,51.0,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,Yes,14040000,14,04,0000,30,10524,0,1406,11,1.13,12.43
Heavy Iron Cleaver,Iron Cleaver,Heavy,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,109,0,0,0,0,100,57,92,B,0,-,0,-,0,-,0,-,15,7,0,0,0,51.0,34.0,34.0,34.0,34.0,34,17.0,25.5,Yes,No,No,No,Yes,14040100,14,04,0100,30,10524,6000,1406,11,1.13,12.43
Keen Iron Cleaver,Iron Cleaver,Keen,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,109,0,0,0,0,100,61,4,E,86,C,0,-,0,-,0,-,15,7,0,0,0,51.0,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,Yes,14040200,14,04,0200,30,10524,200,1406,11,1.13,12.43
Quality Iron Cleaver,Iron Cleaver,Quality,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,103,0,0,0,0,100,61,57,D,57,D,0,-,0,-,0,-,15,7,0,0,0,51.0,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,Yes,14040300,14,04,0300,30,10524,300,1406,11,1.13,12.43
Fire Iron Cleaver,Iron Cleaver,Fire,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,92,0,92,0,0,100,61,45,D,4,E,0,-,0,-,0,-,15,7,0,0,0,48.5,32.3,39.1,35.7,32.3,34,16.2,17.0,Yes,No,No,No,No,14040400,14,04,0400,30,10524,400,1406,11,1.13,12.43
Flame Art Iron Cleaver,Iron Cleaver,Flame Art,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,97,0,97,0,0,100,61,11,E,4,E,0,-,39,D,0,-,15,7,0,0,0,48.5,32.3,39.1,35.7,32.3,34,16.2,17.0,Yes,No,No,No,No,14040500,14,04,0500,30,10524,500,1406,11,1.13,12.43
Lightning Iron Cleaver,Iron Cleaver,Lightning,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,92,0,0,92,0,100,61,4,E,45,D,0,-,0,-,0,-,15,7,0,0,0,48.5,32.3,35.7,39.1,32.3,34,16.2,17.0,Yes,No,No,No,No,14040600,14,04,0600,30,10524,600,1406,11,1.13,12.43
Sacred Iron Cleaver,Iron Cleaver,Sacred,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,86,0,0,0,86,100,61,14,E,5,E,0,-,39,D,0,-,15,7,0,0,0,48.5,35.7,32.3,32.3,39.1,34,16.2,17.0,Yes,No,No,No,No,14040700,14,04,0700,30,10524,700,1406,11,1.13,12.43
Magic Iron Cleaver,Iron Cleaver,Magic,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,86,86,0,0,0,100,61,15,E,3,E,44,D,0,-,0,-,15,7,0,0,0,48.5,39.1,32.3,32.3,35.7,34,16.2,17.0,Yes,No,No,No,No,14040800,14,04,0800,30,10524,800,1406,11,1.13,12.43
Cold Iron Cleaver,Iron Cleaver,Cold,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",Causes frost buildup (66),-,-,Wild Strikes,2,6,100,390,97,78,0,0,0,100,61,63,C,16,E,30,D,0,-,0,-,15,7,0,0,0,48.5,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,No,14040900,14,04,0900,30,10524,900,1406,11,1.13,12.43
Poison Iron Cleaver,Iron Cleaver,Poison,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",Causes poison buildup (66),-,-,Wild Strikes,2,6,100,390,97,0,0,0,0,100,61,66,C,17,E,0,-,0,-,30,D,15,7,0,0,0,48.5,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,No,14041000,14,04,1000,30,10524,1000,1406,11,1.13,12.43
Blood Iron Cleaver,Iron Cleaver,Blood,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",Causes blood loss buildup (57),-,-,Wild Strikes,2,6,100,390,97,0,0,0,0,100,61,66,C,17,E,0,-,0,-,30,D,15,7,0,0,0,48.5,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,No,14041100,14,04,1100,30,10524,1100,1406,11,1.13,12.43
Occult Iron Cleaver,Iron Cleaver,Occult,Axe,,Standard,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.",-,-,-,Wild Strikes,2,6,100,390,103,0,0,0,0,100,61,22,E,5,E,0,-,0,-,74,C,15,7,0,0,0,51.0,34.0,34.0,34.0,34.0,34,17.0,17.0,Yes,No,No,No,No,14041200,14,04,1200,30,10524,1200,1406,11,1.13,12.43
Ripple Blade,Ripple Blade,-,Axe,,Standard,"Unique weapon wielded by young Albinaurics, this sword is modelled after the ripples that are thought to be the origin of their species. Its attack power is greatly enhanced with one's arcane attribute.",-,-,-,Wild Strikes,2,4.5,100,300,70,0,0,0,0,100,56,0,-,0,-,0,-,0,-,153,A,11,11,0,0,20,47.0,31.0,31.0,31.0,31.0,31,15.0,15.0,Yes,No,No,No,Yes,14050000,14,05,0000,30,10525,0,1407,14,1.07,14.98
Celebrant's Cleaver,Celebrant's Cleaver,-,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,119,0,0,0,0,100,56,46,D,31,D,0,-,0,-,0,-,12,8,0,0,0,47.0,31.0,31.0,31.0,31.0,33,15.0,15.0,Yes,No,No,No,Yes,14060000,14,06,0000,30,10526,0,1406,11,1.07,11.77
Celebrant's Heavy Cleaver,Celebrant's Cleaver,Heavy,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,108,0,0,0,0,100,56,79,C,0,-,0,-,0,-,0,-,12,8,0,0,0,47.0,31.0,31.0,31.0,31.0,33,15.0,15.0,Yes,No,No,No,Yes,14060100,14,06,0100,30,10526,100,1406,11,1.07,11.77
Celebrant's Keen Cleaver,Celebrant's Cleaver,Keen,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,108,0,0,0,0,100,56,3,E,75,C,0,-,0,-,0,-,12,8,0,0,0,47.0,31.0,31.0,31.0,31.0,33,15.0,15.0,Yes,No,No,No,Yes,14060200,14,06,0200,30,10526,200,1406,11,1.07,11.77
Celebrant's Quality Cleaver,Celebrant's Cleaver,Quality,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,102,0,0,0,0,100,56,52,D,52,D,0,-,0,-,0,-,12,8,0,0,0,47.0,31.0,31.0,31.0,31.0,33,15.0,15.0,Yes,No,No,No,Yes,14060300,14,06,0300,30,10526,300,1406,11,1.07,11.77
Celebrant's Fire Cleaver,Celebrant's Cleaver,Fire,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,91,0,91,0,0,100,56,39,D,3,E,0,-,0,-,0,-,12,8,0,0,0,44.7,29.5,35.7,32.6,29.5,33,14.3,15.0,Yes,No,No,No,No,14060400,14,06,0400,30,10526,400,1406,11,1.07,11.77
Celebrant's Flame Art Cleaver Blades,Celebrant's Cleaver Blades,Flame Art,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,96,0,96,0,0,100,56,7,E,4,E,0,-,34,D,0,-,12,8,0,0,0,44.7,29.5,35.7,32.6,29.5,33,14.3,15.0,Yes,No,No,No,No,14060500,14,06,0500,30,10526,500,1406,11,1.07,11.77
Celebrant's Lightning Cleaver,Celebrant's Cleaver,Lightning,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,91,0,0,91,0,100,56,3,E,39,D,0,-,0,-,0,-,12,8,0,0,0,44.7,29.5,32.6,35.7,29.5,33,14.3,15.0,Yes,No,No,No,No,14060600,14,06,0600,30,10526,600,1406,11,1.07,11.77
Celebrant's Sacred Cleaver,Celebrant's Cleaver,Sacred,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,85,0,0,0,85,100,56,9,E,6,E,0,-,34,D,0,-,12,8,0,0,0,44.7,32.6,29.5,29.5,35.7,33,14.3,15.0,Yes,No,No,No,No,14060700,14,06,0700,30,10526,700,1406,11,1.07,11.77
Celebrant's Magic Cleaver,Celebrant's Cleaver,Magic,Axe,,Standard,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.",-,-,Rune Gain on Hit,Wild Strikes,2,4.5,100,360,85,85,0,0,0,100,56,9,E,6,E,34,D,0,-,0,-,12,8,0,0,0,44.7,35.7,29.5,29.5,32.6,33,14.3,15.0,Yes,No,No,No,No,14060800,14,06,0800,30,10526,800,1406,11,1.07,11.77
